sample_id,y_pred
S_22226,0.0054791705
S_22230,0.02841719
S_22227,28.810345
S_22200,1.4275961
S_22198,0.008311915
S_22237,1.4430779
S_22181,0.16157296
S_22182,0.06152807
S_22199,0.123279765
S_17982,0.0
S_17981,0.0
S_17980,0.0
S_17973,0.59793395
S_17786,0.4460409
S_18045,0.04080243
S_10098,0.073534936
S_10090,0.28370768
S_10066,0.030629605
S_22240,0.9519973
S_18044,1.5841342
S_10022,0.0
S_18043,6.6697507
S_10003,0.16012542
S_17965,0.377924
S_22283,0.16152003
S_3686,0.15803145
S_10004,0.36099893
S_3626,0.37000096
S_3674,0.07025457
S_3542,0.018410016
S_10037,0.35097402
S_3691,1.3311507
S_1467,0.027761731
S_1412,0.029433846
S_1359,0.212051
S_1356,0.11231256
S_1441,0.13556431
S_17785,62.04955
S_1416,0.062419254
S_1382,0.07845894
S_1493,0.09711546
S_17964,2.5375867
S_3660,0.0
S_624,0.0
S_489,0.19157666
S_486,0.4816346
S_615,0.18806306
S_3551,0.044296194
S_1391,0.021362945
S_534,0.08130685
S_524,0.12426285
S_705,0.30214566
S_529,0.018650575
S_716,0.028957382
S_537,0.042424344
S_540,0.21307406
S_10006,0.07317605
S_797,0.047006354
S_572,0.003630163
S_688,0.0
S_22211,0.02552285
S_22294,1.0464157
S_22290,26.062187
S_22287,0.110095926
S_22284,0.19241324
S_22278,0.097204775
S_22276,1.1052219
S_22282,2.825258
S_22268,4.371058
S_22266,0.0
S_22256,0.13452029
S_22267,0.5641967
S_22255,6.729303
S_22244,0.09294098
S_22245,0.094939895
S_22242,0.0
S_22228,0.0
S_22216,0.72430336
S_22218,0.14800191
S_22206,4.4001317
S_22204,9.468972
S_22207,0.6688459
S_22201,0.54850966
S_22202,0.9331141
S_22187,0.14940064
S_22183,0.26355278
S_17889,0.03776789
S_17888,0.5767308
S_17887,0.47437108
S_17886,0.79737186
S_17885,0.35185146
S_17884,2.2328837
S_18049,0.21693271
S_17883,0.1272162
S_17882,0.11606191
S_17881,0.08521411
S_17880,0.08928478
S_17878,0.5857264
S_17876,0.22998846
S_18048,0.03332675
S_17874,0.3353184
S_22173,0.6382016
S_17873,0.5791999
S_17872,0.0
S_17871,0.59764874
S_17870,0.080999784
S_17869,0.10502007
S_17868,2.808492
S_17867,0.0054956074
S_18047,3.667725
S_17860,6.2555637
S_22232,1.1439092
S_17859,14.528707
S_17858,0.32150316
S_17856,0.0
S_17855,0.1182626
S_17854,0.21310985
S_10063,0.52673244
S_17853,1.0063894
S_17852,1.2460556
S_17845,0.30722103
S_17789,0.15387693
S_17844,0.62169737
S_10039,0.93327755
S_17843,0.19649932
S_17842,9.595633
S_17841,0.06892724
S_10074,0.0
S_17840,0.13563927
S_17833,8.206976
S_9997,0.1559026
S_17832,1.5299366
S_17831,4.8677607
S_17821,0.29923034
S_17820,1.1369848
S_17819,0.0
S_17818,0.15672238
S_17817,2.8248773
S_17815,5.0759063
S_17814,0.58080995
S_17813,1.5407333
S_17812,0.3255776
S_10062,0.37735793
S_3656,1.4591242
S_17811,0.20580432
S_17810,0.117966644
S_17809,1.2919254
S_1455,0.09225897
S_3612,2.4156957
S_17807,4.769565
S_632,0.18435246
S_1471,0.44362625
S_17798,0.27321714
S_10031,1.2919586
S_1429,0.14014137
S_1443,0.3188823
S_17797,2.3644588
S_1409,0.43465906
S_712,0.050741073
S_1536,0.0
S_708,0.36719865
S_3664,0.7971668
S_509,0.18799634
S_17796,1.8671432
S_641,0.06457842
S_488,1.902379
S_706,0.11577733
S_1400,0.83262897
S_731,0.30803278
S_483,0.0
S_634,0.0934127
S_492,0.6699839
S_573,0.6196709
S_22259,0.16176778
S_562,0.14380753
S_17790,0.13531047
S_3668,3.1297326
S_22293,0.0
S_22292,0.7746959
S_22289,3.1980786
S_22286,0.7919079
S_22279,1.2197173
S_22285,3.1756575
S_22277,2.1083734
S_22275,0.102252804
S_22273,0.59764683
S_22263,0.48700604
S_22265,1.9034203
S_22272,3.332745
S_22260,0.19238576
S_22258,0.102634214
S_22254,0.14681369
S_22249,2.9222212
S_22246,4.2594695
S_22247,1.566204
S_22250,4.041203
S_22243,0.12628356
S_22262,1.7754807
S_22239,2.9927857
S_22235,0.21462832
S_22231,3.124853
S_22236,7.271484
S_22233,5.656008
S_22220,0.60982
S_22225,5.904204
S_22223,0.32682157
S_22203,0.9816759
S_22196,5.751143
S_22186,3.1871145
S_22257,5.6682024
S_18041,0.6355122
S_17930,0.8112655
S_17903,0.019799761
S_17932,1.963999
S_17933,0.22319475
S_17934,8.565018
S_17936,1.0026346
S_18040,1.3054764
S_17904,2.0122838
S_18039,0.34071538
S_18038,5.978037
S_17895,0.55975926
S_17905,11.246579
S_18037,1.5811946
S_17956,7.4755945
S_18036,4.383972
S_18051,5.4544854
S_17906,3.9745057
S_17937,1.7165533
S_17957,0.39825052
S_17938,0.0773452
S_22221,8.73777
S_17909,0.0
S_18033,5.5831814
S_17939,3.526187
S_18032,1.8534126
S_10884,0.4333428
S_17910,0.045930922
S_17861,7.0681424
S_10883,18.310339
S_17912,0.5522809
S_11042,1.9093487
S_18031,7.896687
S_11041,10.882304
S_17913,6.3872075
S_18026,0.13092719
S_10101,8.916617
S_10881,0.20982231
S_17914,0.5127519
S_17891,5.603311
S_10878,11.009262
S_17940,0.46824253
S_17915,0.6521029
S_17941,6.118102
S_17916,6.253361
S_10875,0.0
S_10882,6.323563
S_10091,9.93317
S_10876,0.25128287
S_17896,0.23544393
S_17897,0.70475763
S_10087,3.4107676
S_17917,0.16469245
S_10099,7.414328
S_17950,0.3737063
S_10082,0.9849178
S_18019,2.6252465
S_10877,0.24621685
S_10079,2.7541063
S_10077,0.2795321
S_17919,0.0
S_10874,7.182191
S_17920,0.18158978
S_10061,6.579546
S_10873,0.26136434
S_10872,0.46614
S_11038,8.505369
S_10056,3.3823383
S_10054,2.131714
S_17955,5.953446
S_18050,2.4473302
S_17921,4.049246
S_17942,0.008113163
S_17890,0.11656474
S_10043,0.16317894
S_17943,0.24807398
S_10028,8.744603
S_17898,0.035454668
S_10868,0.0
S_17944,0.18976179
S_10026,0.22870617
S_10013,6.4843187
S_18088,1.2677765
S_10014,0.08189637
S_10879,0.61401796
S_17923,3.0035279
S_17899,1.3142346
S_10012,0.30938402
S_17924,3.3799045
S_17925,0.5012294
S_10002,0.10293541
S_17945,2.36631
S_17900,0.059518315
S_10011,2.4320214
S_5394,1.9815391
S_5396,0.13239364
S_3697,0.44871297
S_3545,2.8449767
S_17926,1.6095693
S_5400,3.587943
S_22251,0.46137324
S_17894,2.4299011
S_3658,5.8454394
S_10060,4.5667276
S_10025,11.360697
S_3638,0.33051747
S_10871,0.2433022
S_18005,6.0180764
S_18004,0.0905229
S_5381,2.3288152
S_3529,1.4198284
S_10068,3.4179363
S_22190,0.70907456
S_5367,24.715683
S_3680,1.094567
S_18070,0.7222257
S_3643,6.8139367
S_5361,3.3453832
S_17927,9.129318
S_1515,0.78272057
S_17946,5.3722935
S_17952,0.94247377
S_22142,2.8834054
S_17901,0.0
S_1512,0.13913116
S_3650,6.578686
S_5386,0.0
S_9980,8.767878
S_1511,0.7386797
S_5343,0.53078175
S_5345,6.6004667
S_5344,0.0
S_17998,2.0798864
S_10005,0.25764006
S_1404,0.04674724
S_22136,0.0
S_1457,1.2701533
S_5302,0.64409584
S_17928,0.0
S_5356,0.0
S_1394,0.0
S_5291,0.70269233
S_17929,0.033133578
S_3611,1.0034832
S_5289,0.88423526
S_17947,1.6578648
S_5276,0.10923893
S_5269,5.6480055
S_17902,0.1353975
S_10019,0.6579526
S_9999,0.15607363
S_1390,1.5021229
S_1401,1.2896746
S_1398,1.0824667
S_10024,1.8521359
S_583,0.0019223021
S_1434,0.10605758
S_9998,3.877373
S_17994,2.984789
S_22241,7.814115
S_539,1.8082775
S_515,0.42341602
S_10867,16.632614
S_22229,4.8407083
S_735,0.0
S_709,0.4031921
S_1396,0.7444671
S_5380,6.003815
S_734,1.1626811
S_17791,1.2299286
S_530,1.0666763
S_704,2.245817
S_526,0.0074721123
S_696,1.3760434
S_543,1.5359491
S_611,0.91258055
S_550,1.8441703
S_1432,0.504052
S_22291,9.266383
S_17986,9.8202915
S_22248,3.9076116
S_5362,3.2549999
S_568,1.0260881
