#SampleID	body_site
Feces_597397_B	Feces
Saliva_PMA_1886988_A	Saliva
Feces_PMA_1898160	Feces
Saliva_PMA_1892471_A	Saliva
Feces_1939723	Feces
Saliva_1932704	Saliva
Saliva_1940414	Saliva
Feces_1854510	Feces
Feces_1810105_A	Feces
Feces_1793619	Feces
Saliva_1904234	Saliva
Saliva_PMA_1786951	Saliva
Feces_1790015_A	Feces
Feces_1933402	Feces
Feces_PMA_1870580	Feces
Feces_PMA_1892471_A	Feces
Saliva_PMA_1823249_A	Saliva
Feces_PMA_1940414	Feces
Saliva_PMA_1706829_B	Saliva
Saliva_PMA_1706829_A	Saliva
Saliva_PMA_1622382_A	Saliva
Feces_PMA_1622382_B	Feces
Saliva_1921203_A	Saliva
Saliva_1751896	Saliva
Feces_PMA_1551516	Feces
Saliva_1763530	Saliva
Feces_PMA_1899211_A	Feces
Feces_PMA_1873920	Feces
Saliva_1908773	Saliva
Feces_PMA_1363817	Feces
Feces_1551516	Feces
Saliva_1884527	Saliva
Feces_1583990	Feces
Saliva_1521973	Saliva
Saliva_PMA_1939768	Saliva
Saliva_PMA_1786437_B	Saliva
Saliva_PMA_1930914	Saliva
Feces_1837089_B	Feces
Feces_1932704	Feces
Saliva_1920020	Saliva
Feces_1920020	Feces
Feces_1843492_C	Feces
Saliva_1905350	Saliva
Saliva_1706829_B	Saliva
Feces_1916590	Feces
Feces_PMA_1930914	Feces
Feces_1892471_A	Feces
Saliva_PMA_1790015_A	Saliva
Feces_PMA_1345909	Feces
Saliva_PMA_1823787	Saliva
Feces_1622382_A	Feces
Feces_PMA_1935528	Feces
Saliva_PMA_1945014	Saliva
Feces_1850511	Feces
Feces_1927915	Feces
Saliva_1915379	Saliva
Saliva_PMA_1918977_A	Saliva
Feces_PMA_1843492_A	Feces
Saliva_PMA_1916412	Saliva
Feces_PMA_1693066	Feces
Feces_1937402	Feces
Feces_1945152	Feces
Saliva_1918977_B	Saliva
Feces_PMA_1937402	Feces
Feces_1813364	Feces
Saliva_PMA_1904234	Saliva
Feces_1156750	Feces
Feces_PMA_1807262	Feces
Saliva_1937402	Saliva
Feces_PMA_1902669	Feces
Feces_PMA_1768795	Feces
Feces_PMA_1886988_B	Feces
Feces_PMA_1810105_B	Feces
Feces_1907311	Feces
Saliva_1927915	Saliva
Saliva_PMA_1890033	Saliva
Saliva_PMA_1850511	Saliva
Saliva_1892471_A	Saliva
Saliva_1924430	Saliva
Feces_PMA_1939723	Feces
Saliva_PMA_1156750	Saliva
Feces_PMA_1890033	Feces
Feces_PMA_597397_A	Feces
Feces_PMA_1916590	Feces
Saliva_1551463	Saliva
Saliva_1770309	Saliva
Saliva_1156750	Saliva
Feces_PMA_1924430	Feces
Saliva_PMA_1557169	Saliva
Feces_PMA_1843492_C	Feces
Saliva_1888352	Saliva
Saliva_1290762	Saliva
Saliva_PMA_1895668	Saliva
Feces_1834836	Feces
Feces_1810105_B	Feces
Feces_PMA_1916907	Feces
Feces_1881964	Feces
Feces_PMA_1907311	Feces
Feces_1898160	Feces
Feces_1290762	Feces
Feces_1926378	Feces
Feces_1879757	Feces
Feces_PMA_1583990	Feces
Saliva_PMA_1843492_C	Saliva
Saliva_1897464	Saliva
Saliva_1768795	Saliva
Feces_1905350	Feces
Saliva_1588509	Saliva
Feces_1909554_A	Feces
Feces_1345909	Feces
Feces_PMA_1828385	Feces
Saliva_PMA_1693066	Saliva
Feces_PMA_1823249_A	Feces
Saliva_1915542	Saliva
Saliva_PMA_1940036	Saliva
Saliva_PMA_1843492_A	Saliva
Saliva_1688793	Saliva
Saliva_1906007	Saliva
Saliva_1837089_B	Saliva
Saliva_1557169	Saliva
Saliva_1551516	Saliva
Saliva_1930914	Saliva
Saliva_1902762	Saliva
Feces_PMA_1837089_B	Feces
Feces_PMA_1945014	Feces
Saliva_1903009	Saliva
Feces_PMA_1706829_A	Feces
Feces_1935528	Feces
Saliva_PMA_1944552	Saliva
Feces_1899211_B	Feces
Feces_PMA_1903009	Feces
Feces_PMA_1290762	Feces
Saliva_1843492_A	Saliva
Feces_1363817	Feces
Saliva_1918977_A	Saliva
Saliva_PMA_1897464	Saliva
Feces_1700485	Feces
Feces_PMA_1938128	Feces
Feces_PMA_1909554_B	Feces
Saliva_PMA_1928254	Saliva
Saliva_PMA_1790780	Saliva
Saliva_PMA_1369751	Saliva
Saliva_1945152	Saliva
Feces_PMA_1834836	Feces
Feces_1901300	Feces
Saliva_1745624	Saliva
Saliva_PMA_1909554_B	Saliva
Feces_PMA_1881964	Feces
Saliva_PMA_1899211_B	Saliva
Feces_PMA_1799065	Feces
Feces_1884527	Feces
Saliva_PMA_1903009	Saliva
Feces_PMA_1940036	Feces
Feces_PMA_1906007	Feces
Saliva_PMA_1925573	Saliva
Feces_1786437_A	Feces
Saliva_PMA_1936290	Saliva
Feces_PMA_1916725_A	Feces
Feces_1910344	Feces
Feces_PMA_1895668	Feces
Saliva_PMA_1932704	Saliva
Feces_1807262	Feces
Feces_PMA_1557169	Feces
Feces_PMA_1588509	Feces
Saliva_PMA_1906007	Saliva
Feces_PMA_1787829	Feces
Feces_PMA_1932704	Feces
Saliva_PMA_1916725_B	Saliva
Saliva_1583990	Saliva
Feces_PMA_1908773	Feces
Feces_1935110	Feces
Saliva_PMA_1768795	Saliva
Feces_PMA_1921203_A	Feces
Feces_1924430	Feces
Feces_1369751	Feces
Feces_1902316	Feces
Feces_1802801	Feces
Feces_1786951	Feces
Feces_PMA_1786437_A	Feces
Saliva_PMA_1870580	Saliva
Feces_1790780	Feces
Saliva_PMA_1834836	Saliva
Saliva_1907311	Saliva
Feces_1890033	Feces
Feces_1940414	Feces
Saliva_1753969	Saliva
Saliva_1790780	Saliva
Saliva_1906432	Saliva
Feces_PMA_1902762	Feces
Saliva_1916590	Saliva
Feces_PMA_1918977_B	Feces
Saliva_PMA_1926378	Saliva
Saliva_1939723	Saliva
Saliva_1905512	Saliva
Feces_PMA_1706829_B	Feces
Saliva_PMA_1924430	Saliva
Feces_1925573	Feces
Saliva_1622382_A	Saliva
Feces_PMA_1899211_B	Feces
Feces_PMA_1936290	Feces
Saliva_1899211_B	Saliva
Feces_PMA_1850511	Feces
Feces_PMA_597397_B	Feces
Saliva_PMA_1854510	Saliva
Feces_PMA_1927915	Feces
Saliva_1945014	Saliva
Saliva_1693066	Saliva
Feces_1916907	Feces
Saliva_PMA_1799696	Saliva
Feces_1693066	Feces
Feces_PMA_1745624	Feces
Saliva_PMA_1807262	Saliva
Saliva_PMA_597397_A	Saliva
Feces_1904234	Feces
Saliva_1829217	Saliva
Saliva_1938128	Saliva
Saliva_PMA_1751896	Saliva
Feces_1799065	Feces
Saliva_PMA_1907987	Saliva
Saliva_PMA_1290762	Saliva
Feces_PMA_1790780	Feces
Feces_1870580	Feces
Saliva_1928263	Saliva
Saliva_1898160	Saliva
Feces_1703701	Feces
Saliva_PMA_1916725_A	Saliva
Saliva_PMA_1763530	Saliva
Feces_PMA_1429638	Feces
Feces_PMA_1935110	Feces
Saliva_1799065	Saliva
Feces_1918153_A	Feces
Saliva_1694835	Saliva
Feces_1770309	Feces
Feces_1676542	Feces
Saliva_PMA_1832753	Saliva
Saliva_PMA_1583990	Saliva
Saliva_1920286	Saliva
Saliva_1786437_B	Saliva
Feces_1622382_B	Feces
Feces_PMA_1901300	Feces
Saliva_1918153_A	Saliva
Control	Control
Feces_1909554_B	Feces
Saliva_PMA_1836373	Saliva
Feces_1918977_A	Feces
Feces_1915542	Feces
Feces_1823249_B	Feces
Saliva_1429638	Saliva
Saliva_PMA_1745624	Saliva
Feces_PMA_1900608	Feces
Saliva_1843492_C	Saliva
Feces_1799696	Feces
Feces_PMA_1753969	Feces
Feces_1886988_B	Feces
Saliva_1810105_A	Saliva
Saliva_1676542	Saliva
Feces_1745624	Feces
Saliva_PMA_1903857	Saliva
Feces_1936290	Feces
Feces_PMA_1763530	Feces
Saliva_1813364	Saliva
Saliva_1700485	Saliva
Saliva_1832753	Saliva
Saliva_PMA_1837089_A	Saliva
Saliva_PMA_1894439	Saliva
Saliva_PMA_1905512	Saliva
Saliva_PMA_1793619	Saliva
Feces_1836373	Feces
Saliva_PMA_1837089_B	Saliva
Feces_PMA_1886988_A	Feces
Feces_PMA_1843492_B	Feces
Feces_PMA_1918153_A	Feces
Feces_1916725_A	Feces
Saliva_1892471_B	Saliva
Feces_1916725_B	Feces
Saliva_1870580	Saliva
Feces_1823787	Feces
Saliva_PMA_1821208_B	Saliva
Saliva_1837089_A	Saliva
Feces_1873920	Feces
Feces_1821208_A	Feces
Feces_PMA_1897464	Feces
Feces_1694835	Feces
Feces_1843492_A	Feces
Saliva_PMA_1908773	Saliva
Feces_PMA_1622382_A	Feces
Saliva_PMA_1866127	Saliva
Saliva_1836373	Saliva
Feces_PMA_1802801	Feces
Saliva_PMA_1910344	Saliva
Feces_1932751	Feces
Saliva_1930802	Saliva
Feces_1821208_B	Feces
Feces_PMA_1770309	Feces
Saliva_PMA_1873920	Saliva
Feces_PMA_1928263	Feces
Saliva_1932751	Saliva
Saliva_1854510	Saliva
Feces_1944672	Feces
Feces_PMA_1928254	Feces
Saliva_PMA_1345909	Saliva
Feces_1938128	Feces
Saliva_1916725_A	Saliva
Saliva_PMA_1902762	Saliva
Saliva_PMA_1935528	Saliva
Feces_1928254	Feces
Feces_PMA_1945152	Feces
Saliva_PMA_1944672	Saliva
Feces_1787829	Feces
Saliva_1944672	Saliva
Feces_1429638	Feces
Saliva_PMA_1688793	Saliva
Feces_1919134	Feces
Saliva_PMA_1909554_A	Saliva
Saliva_PMA_1843492_B	Saliva
Saliva_1916412	Saliva
Feces_1918153_B	Feces
Saliva_PMA_1916907	Saliva
Feces_PMA_1903857	Feces
Saliva_1886988_B	Saliva
Saliva_PMA_1902316	Saliva
Feces_1930802	Feces
Saliva_1903857	Saliva
Feces_PMA_1821208_B	Feces
Saliva_PMA_1898160	Saliva
Feces_PMA_1907987	Feces
Saliva_PMA_1920286	Saliva
Saliva_PMA_1918977_B	Saliva
Saliva_1925573	Saliva
Saliva_1900608	Saliva
Feces_1944552	Feces
Feces_1905512	Feces
Feces_PMA_1894439	Feces
Feces_PMA_1933402	Feces
Feces_PMA_1910344	Feces
Saliva_PMA_1899211_A	Saliva
Saliva_PMA_1703701	Saliva
Feces_PMA_1694835	Feces
Saliva_1916725_B	Saliva
Saliva_PMA_1930802	Saliva
Saliva_1919134	Saliva
Feces_PMA_1156750	Feces
Saliva_PMA_1921203_A	Saliva
Saliva_PMA_1879757	Saliva
Feces_PMA_1703701	Feces
Saliva_PMA_597397_B	Saliva
Saliva_1899211_A	Saliva
Saliva_1902669	Saliva
Saliva_PMA_1918153_A	Saliva
Saliva_PMA_1694835	Saliva
Feces_1551463	Feces
Saliva_1886988_A	Saliva
Feces_PMA_1905512	Feces
Saliva_1823249_B	Saliva
Feces_PMA_1906432	Feces
Feces_PMA_1944552	Feces
Saliva_1843492_B	Saliva
Saliva_1823249_A	Saliva
Saliva_PMA_1901300	Saliva
Feces_PMA_1902316	Feces
Feces_PMA_1919134	Feces
Feces_1829217	Feces
Saliva_PMA_1937402	Saliva
Feces_PMA_1793619	Feces
Saliva_PMA_1945152	Saliva
Saliva_PMA_1939723	Saliva
Saliva_PMA_1892471_B	Saliva
Feces_1832753	Feces
Feces_PMA_1790015_A	Feces
Feces_PMA_1920286	Feces
Saliva_1786437_A	Saliva
Saliva_1823787	Saliva
Feces_PMA_1823787	Feces
Feces_1790015_B	Feces
Saliva_1944552	Saliva
Feces_PMA_1832753	Feces
Feces_597397_A	Feces
Saliva_1810105_B	Saliva
Feces_1915379	Feces
Saliva_PMA_1622382_B	Saliva
Saliva_1907987	Saliva
Feces_PMA_1786437_B	Feces
Feces_1906432	Feces
Saliva_PMA_1916590	Saliva
