#input_bin	species	SGB	ave_dist
ID_1751896_bin.55	Actinomyces_naeslundii	SGB15888	0.024751544
ID_1694835_bin.26	Actinomyces_naeslundii	SGB15888	0.028416356
D209_M_Treated_bin.17	Actinomyces_naeslundii	SGB15888	0.025333881
C36_Control_bin.30	Actinomyces_naeslundii	SGB15888	0.02605776
ID_1930914_bin.44	Actinomyces_oris	SGB15878	0.046228453
D122_N_Treated_bin.54	Actinomyces_oris	SGB15881	0.028528527
ID_1915379_bin.44	Actinomyces_oris	SGB15878	0.038729359
ID_1895668_bin.22	Actinomyces_oris	SGB15878	0.040129934
D86_Untreated_bin.2	Actinomyces_oris	SGB15881	0.025422436
ID_1935528_bin.11	Actinomyces_oris	SGB15878	0.039117369
ID_1902316_bin.26	Actinomyces_oris	SGB15878	0.036005963
ID_1897464_bin.19	Actinomyces_oris	SGB15878	0.037585476
D104_Untreated_bin.22	Actinomyces_oris	SGB15881	0.026867518
ID_1932704_bin.49	Actinomyces_oris	SGB15878	0.03889748
ID_1345909_bin.29	Actinomyces_oris	SGB15878	0.038185339
ID_1933402_bin.47	Actinomyces_oris	SGB15878	0.040351785
ID_1945014_bin.22	Actinomyces_oris	SGB15878	0.039532573
D93_M_Treated_bin.18	Actinomyces_oris	SGB15878	0.036766085
ID_1925573_bin.56	Actinomyces_oris	SGB15878	0.045370024
C35_Control_bin.40	Actinomyces_oris	SGB15878	0.044794944
ID_1879757_bin.20	Actinomyces_oris	SGB15878	0.041580702
D41_Untreated_bin.55	Actinomyces_oris	SGB15878	0.037985853
C32_Control_bin.17	Actinobaculum_sp_oral_taxon_183	SGB15892	0.013287658
ID_1892471_B_bin.18	Actinomyces_bouchesdurhonensis	SGB17152	0.03493714
ID_1908773_bin.14	Actinomyces_bouchesdurhonensis	SGB17152	0.0278071
C71_Control_bin.32	Actinomyces_SGB17154	SGB17154	0.059513543
ID_1821208_A_bin.19	Actinomyces_SGB17154	SGB17154	0.033292686
ID_1694835_bin.29	Actinomyces_SGB17154	SGB17154	0.0332248
C51_Control_bin.9	Actinomyces_SGB17154	SGB17154	0.059155786
ID_1899211_B_bin.6	Actinomyces_SGB17168	SGB17168	0.026886477
ID_1933402_bin.13	Actinomyces_SGB17168	SGB17168	0.0321175
ID_1836373_bin.55	Actinomyces_SGB17168	SGB17168	0.026325092
ID_1813364_bin.51	Actinomyces_SGB17168	SGB17168	0.033391323
